"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"File","Refresh","F5","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Views","Show View (View: Error Log)","Shift+Alt+Q L","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"File","Rename","F2","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant y<Buildfiles"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Terminal view commands","Terminal view insert","Alt+V","Terminal widget context"
"EMF Code Generation","Generate Code","Shift+Alt+G","In Windows"
"Views","Show View (View: Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"C/C++ Source","Indent Line","Ctrl+I","C/C++ Editor"
"File","New","Ctrl+N","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"File","Print","Ctrl+P","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Views","Show View (View: Synchronize)","Shift+Alt+Q Y","In Windows"
"Makefile Source","Comment","Ctrl+/","Makefile Editor"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Views","Show View (View: Console)","Shift+Alt+Q C","In Windows"
"Text Editing","Line Start","Home","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Navigate","Forward History","Alt+Right","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
